Year,Variable,Unit,Commodity,Primary weight,Loss from primary to retail weight,Retail weight,Loss from retail/institutional to consumer level,Consumer weight,Nonedible share,Edible weight,Other (cooking loss and uneaten food),"Total loss, all levels",Per capita availability (lbs/year),Per capita availability (gals/year),Per capita availability (oz/day),Per capita availability (g/day),Calories per cup-equivalent,Grams per cup-equivalent ,Calories available daily ,Food pattern equivalents available daily
1970,Dairy,Pounds,Plain whole milk,213.5412581,0,213.5412581,12,187.9163072,0,187.9163072,20,29.6,150.3330457,17.48058671,6.589941731,186.8215531,149,244,114.0836533,0.765662103
1971,Dairy,Pounds,Plain whole milk,208.6719819,0,208.6719819,12,183.6313441,0,183.6313441,20,29.6,146.9050753,17.08198549,6.439674532,182.5615531,149,244,111.4822599,0.748203087
1972,Dairy,Pounds,Plain whole milk,200.4118805,0,200.4118805,12,176.3624548,0,176.3624548,20,29.6,141.0899639,16.40580975,6.18476554,175.3350107,149,244,107.0693303,0.718586109
1973,Dairy,Pounds,Plain whole milk,190.3840422,0,190.3840422,12,167.5379571,0,167.5379571,20,29.6,134.0303657,15.58492624,5.875303701,166.5619223,149,244,101.7119935,0.682630829
1974,Dairy,Pounds,Plain whole milk,180.025499,0,180.025499,12,158.4224391,0,158.4224391,20,29.6,126.7379513,14.73697108,5.55563622,157.499509,149,244,96.17797887,0.645489791
1975,Dairy,Pounds,Plain whole milk,174.8915137,0,174.8915137,12,153.9045321,0,153.9045321,20,29.6,123.1236256,14.31670066,5.397200028,153.0079222,149,244,93.43516561,0.627081648
1976,Dairy,Pounds,Plain whole milk,168.3788144,0,168.3788144,12,148.1733567,0,148.1733567,20,29.6,118.5386853,13.78356806,5.196216344,147.3101352,149,244,89.95577931,0.603730062
1977,Dairy,Pounds,Plain whole milk,160.7162359,0,160.7162359,12,141.4302876,0,141.4302876,20,29.6,113.1442301,13.15630582,4.959747072,140.6063496,149,244,85.86207414,0.576255531
1978,Dairy,Pounds,Plain whole milk,154.9021815,0,154.9021815,12,136.3139197,0,136.3139197,20,29.6,109.0511358,12.68036463,4.78032376,135.5197884,149,244,82.75593638,0.555408969
1979,Dairy,Pounds,Plain whole milk,149.260577,0,149.260577,12,131.3493078,0,131.3493078,20,29.6,105.0794462,12.21854026,4.6062223,130.5840991,149,244,79.74192937,0.535180734
1980,Dairy,Pounds,Plain whole milk,141.6921554,0,141.6921554,12,124.6890967,0,124.6890967,20,29.6,99.75127737,11.59898574,4.372658734,123.9626888,149,244,75.69852716,0.508043806
1981,Dairy,Pounds,Plain whole milk,136.3295652,0,136.3295652,12,119.9700173,0,119.9700173,20,29.6,95.97601388,11.16000161,4.207167732,119.2711016,149,244,72.83358254,0.48881599
1982,Dairy,Pounds,Plain whole milk,130.3137302,0,130.3137302,12,114.6760826,0,114.6760826,20,29.6,91.74086608,10.66754257,4.021517417,114.008008,149,244,69.61964424,0.467245935
1983,Dairy,Pounds,Plain whole milk,127.0916028,0,127.0916028,12,111.8406105,0,111.8406105,20,29.6,89.47248837,10.40377772,3.922081682,111.1890546,149,244,67.89823418,0.455692847
