Year,Variable,Unit,Commodity,Primary weight,Loss from primary to retail weight,Retail weight,Loss from retail/institutional to consumer level,Consumer weight,Nonedible share,Edible weight,Other (cooking loss and uneaten food),"Total loss, all levels",Per capita availability (lbs/year),Per capita availability (gals/year),Per capita availability (oz/day),Per capita availability (g/day),Calories per cup-equivalent,Grams per cup-equivalent ,Calories available daily ,Food pattern equivalents available daily
1970,Fruit for fresh,Pounds,Oranges,16.16,3,15.68,11.57,13.86,27,10.12,36,59.92,6.48,,0.28,8.05,85.5,182,3.78,0.04
1971,Fruit for fresh,Pounds,Oranges,15.73,3,15.26,11.57,13.49,27,9.85,36,59.92,6.3,,0.28,7.83,85.5,182,3.68,0.04
1972,Fruit for fresh,Pounds,Oranges,14.47,3,14.04,11.57,12.41,27,9.06,36,59.92,5.8,,0.25,7.21,85.5,182,3.39,0.04
1973,Fruit for fresh,Pounds,Oranges,14.43,3,14,11.57,12.38,27,9.04,36,59.92,5.78,,0.25,7.19,85.5,182,3.38,0.04
1974,Fruit for fresh,Pounds,Oranges,14.42,3,13.99,11.57,12.37,27,9.03,36,59.92,5.78,,0.25,7.18,85.5,182,3.37,0.04
1975,Fruit for fresh,Pounds,Oranges,15.88,3,15.4,11.57,13.62,27,9.94,36,59.92,6.36,,0.28,7.91,85.5,182,3.72,0.04
1976,Fruit for fresh,Pounds,Oranges,14.74,3,14.3,11.57,12.65,27,9.23,36,59.92,5.91,,0.26,7.34,85.5,182,3.45,0.04
1977,Fruit for fresh,Pounds,Oranges,13.44,3,13.04,11.57,11.53,27,8.42,36,59.92,5.39,,0.24,6.7,85.5,182,3.15,0.04
1978,Fruit for fresh,Pounds,Oranges,13.44,3,13.04,11.57,11.53,27,8.42,36,59.92,5.39,,0.24,6.7,85.5,182,3.15,0.04
1979,Fruit for fresh,Pounds,Oranges,11.5,3,11.15,11.57,9.86,27,7.2,36,59.92,4.61,,0.2,5.72,85.5,182,2.69,0.03
1980,Fruit for fresh,Pounds,Oranges,14.28,3,13.85,11.57,12.25,27,8.94,36,59.92,5.72,,0.25,7.11,85.5,182,3.34,0.04
1981,Fruit for fresh,Pounds,Oranges,12.33,3,11.96,11.57,10.58,27,7.72,36,59.92,4.94,,0.22,6.14,85.5,182,2.89,0.03
1982,Fruit for fresh,Pounds,Oranges,11.68,3,11.33,11.57,10.02,27,7.31,36,59.92,4.68,,0.21,5.82,85.5,182,2.73,0.03
