Year,Variable,Unit,Commodity,Primary weight,Loss from primary to retail weight,Retail weight,Loss from retail/institutional to consumer level,Consumer weight,Nonedible share,Edible weight,Other (cooking loss and uneaten food),"Total loss, all levels",Per capita availability (lbs/year),Per capita availability (oz/day),Per capita availability (g/day),Calories per cup-equivalent,Grams per cup-equivalent ,Calories available daily ,Food pattern equivalents available daily
1970,Grains,Pounds,White and whole wheat flour,103.9547996,0,103.9547996,12,91.48022367,0,91.48022367,20,29.6,73.18417893,3.208073597,90.94728244,82,24,310.7365483,3.789470102
1971,Grains,Pounds,White and whole wheat flour,103.6765711,0,103.6765711,12,91.23538255,0,91.23538255,20,29.6,72.98830604,3.199487388,90.7038677,82,24,309.9048813,3.779327821
1972,Grains,Pounds,White and whole wheat flour,102.7321297,0,102.7321297,12,90.40427416,0,90.40427416,20,29.6,72.32341933,3.170341669,89.87760115,82,24,307.0818039,3.744900048
1973,Grains,Pounds,White and whole wheat flour,105.0050996,0,105.0050996,12,92.40448763,0,92.40448763,20,29.6,73.9235901,3.240486142,91.86616187,82,24,313.8760531,3.827756745
1974,Grains,Pounds,White and whole wheat flour,104.1295085,0,104.1295085,12,91.63396744,0,91.63396744,20,29.6,73.30717395,3.21346516,91.10013054,82,24,311.2587794,3.795838773
1975,Grains,Pounds,White and whole wheat flour,107.6637723,0,107.6637723,12,94.7441196,0,94.7441196,20,29.6,75.79529568,3.322533509,94.19216372,82,24,321.8232261,3.924673488
1976,Grains,Pounds,White and whole wheat flour,111.9232294,0,111.9232294,12,98.49244184,0,98.49244184,20,29.6,78.79395348,3.453981522,97.91864916,82,24,334.5553846,4.079943715
1977,Grains,Pounds,White and whole wheat flour,107.938356,0,107.938356,12,94.98575326,0,94.98575326,20,29.6,75.98860261,3.331007238,94.43238968,82,24,322.6439981,3.934682903
1978,Grains,Pounds,White and whole wheat flour,108.5185924,0,108.5185924,12,95.49636128,0,95.49636128,20,29.6,76.39708903,3.348913492,94.94002303,82,24,324.378412,3.955834293
1979,Grains,Pounds,White and whole wheat flour,109.0278633,0,109.0278633,12,95.94451972,0,95.94451972,20,29.6,76.75561578,3.364629733,95.38557061,82,24,325.9006996,3.974398775
1980,Grains,Pounds,White and whole wheat flour,110.2628088,0,110.2628088,12,97.03127176,0,97.03127176,20,29.6,77.62501741,3.402740489,96.46599149,82,24,329.5921376,4.019416312
1981,Grains,Pounds,White and whole wheat flour,109.732058,0,109.732058,12,96.56421105,0,96.56421105,20,29.6,77.25136884,3.386361374,96.00165177,82,24,328.0056435,4.000068824
1982,Grains,Pounds,White and whole wheat flour,110.7397799,0,110.7397799,12,97.45100628,0,97.45100628,20,29.6,77.96080502,3.417459946,96.88328075,82,24,331.0178759,4.036803364
1983,Grains,Pounds,White and whole wheat flour,111.2582044,0,111.2582044,12,97.90721983,0,97.90721983,20,29.6,78.32577586,3.433458668,97.33683651,82,24,332.5675247,4.055701521
1984,Grains,Pounds,White and whole wheat flour,111.9890951,0,111.9890951,12,98.55040369,0,98.55040369,20,29.6,78.84032295,3.456014157,97.97627334,82,24,334.7522672,4.082344722
1985,Grains,Pounds,White and whole wheat flour,116.4861864,0,116.4861864,12,102.507844,0,102.507844,20,29.6,82.00627522,3.594795626,101.9106586,82,24,348.1947502,4.246277442
1986,Grains,Pounds,White and whole wheat flour,116.6939792,0,116.6939792,12,102.6907017,0,102.6907017,20,29.6,82.15256138,3.60120817,102.092451,82,24,348.8158743,4.253852126
1987,Grains,Pounds,White and whole wheat flour,119.19743,0,119.19743,12,104.8937384,0,104.8937384,20,29.6,83.91499072,3.678465346,104.2826533,82,24,356.2990656,4.345110556
1988,Grains,Pounds,White and whole wheat flour,122.4402918,0,122.4402918,12,107.7474567,0,107.7474567,20,29.6,86.19796539,3.778540949,107.1197466,82,24,365.9924676,4.463322776
1989,Grains,Pounds,White and whole wheat flour,119.8218514,0,119.8218514,12,105.4432293,0,105.4432293,20,29.6,84.35458341,3.697735163,104.828943,82,24,358.1655553,4.367872625
1990,Grains,Pounds,White and whole wheat flour,124.1908646,0,124.1908646,12,109.2879608,0,109.2879608,20,29.6,87.43036865,3.832564105,108.6512761,82,24,371.2251933,4.527136504
1991,Grains,Pounds,White and whole wheat flour,124.6923476,0,124.6923476,12,109.7292659,0,109.7292659,20,29.6,87.78341273,3.84804001,109.0900103,82,24,372.7242018,4.545417095
1992,Grains,Pounds,White and whole wheat flour,124.717571,0,124.717571,12,109.7514625,0,109.7514625,20,29.6,87.80116999,3.848818411,109.1120775,82,24,372.7995982,4.546336564
1993,Grains,Pounds,White and whole wheat flour,128.5770863,0,128.5770863,12,113.147836,0,113.147836,20,29.6,90.51826878,3.967924111,112.4886646,82,24,384.3362706,4.687027691
1994,Grains,Pounds,White and whole wheat flour,129.1641957,0,129.1641957,12,113.6644923,0,113.6644923,20,29.6,90.93159381,3.986042468,113.002311,82,24,386.0912291,4.708429623
1995,Grains,Pounds,White and whole wheat flour,126.9101819,0,126.9101819,12,111.6809601,0,111.6809601,20,29.6,89.34476808,3.916482984,111.0303344,82,24,379.3536424,4.626263932
1996,Grains,Pounds,White and whole wheat flour,132.8746411,0,132.8746411,12,116.9296842,0,116.9296842,20,29.6,93.54374734,4.100547828,116.2484807,82,24,397.1823089,4.843686694
1997,Grains,Pounds,White and whole wheat flour,134.4623429,0,134.4623429,12,118.3268617,0,118.3268617,20,29.6,94.66148937,4.149544739,117.6375186,82,24,401.9281885,4.901563275
1998,Grains,Pounds,White and whole wheat flour,131.6193593,0,131.6193593,12,115.8250362,0,115.8250362,20,29.6,92.66002892,4.061809487,115.1502681,82,24,393.4300825,4.797927835
1999,Grains,Pounds,White and whole wheat flour,133.2772656,0,133.2772656,12,117.2839937,0,117.2839937,20,29.6,93.82719496,4.11297293,116.6007261,82,24,398.3858141,4.858363586
2000,Grains,Pounds,White and whole wheat flour,133.7058663,0,133.7058663,12,117.6611624,0,117.6611624,20,29.6,94.1289299,4.126199667,116.9756974,82,24,399.6669663,4.873987394
2001,Grains,Pounds,White and whole wheat flour,128.095436,0,128.095436,12,112.7239837,0,112.7239837,20,29.6,90.17918695,3.95306025,112.0672816,82,24,382.8965453,4.669470065
2002,Grains,Pounds,White and whole wheat flour,124.0154125,0,124.0154125,12,109.133563,0,109.133563,20,29.6,87.30685037,3.827149605,108.4977777,82,24,370.7007406,4.520740739
2003,Grains,Pounds,White and whole wheat flour,125.0189119,0,125.0189119,12,110.0166425,0,110.0166425,20,29.6,88.01331401,3.858117874,109.3757127,82,24,373.7003517,4.557321362
2004,Grains,Pounds,White and whole wheat flour,124.074912,0,124.074912,12,109.1859226,0,109.1859226,20,29.6,87.34873805,3.828985778,108.5498323,82,24,370.8785937,4.522909679
2005,Grains,Pounds,White and whole wheat flour,122.5964793,0,122.5964793,12,107.8849018,0,107.8849018,20,29.6,86.30792142,3.783360939,107.2563909,82,24,366.4593357,4.469016289
2006,Grains,Pounds,White and whole wheat flour,123.5987158,0,123.5987158,12,108.7668699,0,108.7668699,20,29.6,87.01349595,3.814290234,108.133221,82,24,369.4551717,4.505550874
2007,Grains,Pounds,White and whole wheat flour,125.9338586,0,125.9338586,12,110.8217956,0,110.8217956,20,29.6,88.65743644,3.886353378,110.1761751,82,24,376.4352649,4.590673962
2008,Grains,Pounds,White and whole wheat flour,125.2231231,0,125.2231231,12,110.1963484,0,110.1963484,20,29.6,88.15707869,3.864419888,109.5543716,82,24,374.3107697,4.564765484
2009,Grains,Pounds,White and whole wheat flour,123.1310971,0,123.1310971,12,108.3553655,0,108.3553655,20,29.6,86.68429238,3.799859392,107.7241138,82,24,368.0573889,4.488504743
2010,Grains,Pounds,White and whole wheat flour,122.8645176,0,122.8645176,12,108.1207755,0,108.1207755,20,29.6,86.49662042,3.791632676,107.4908905,82,24,367.2605427,4.478787106
2011,Grains,Pounds,White and whole wheat flour,132.4649769,0,132.4649769,12,116.5691797,0,116.5691797,20,29.6,93.25534373,4.087905478,115.8900764,82,24,395.9577609,4.828753182
2012,Grains,Pounds,White and whole wheat flour,134.32963,0,134.32963,12,118.2100744,0,118.2100744,20,29.6,94.56805952,4.145449185,117.5214117,82,24,401.5314898,4.896725486
2013,Grains,Pounds,White and whole wheat flour,135.0221677,0,135.0221677,12,118.8195076,0,118.8195076,20,29.6,95.05560606,4.166821087,118.1272944,82,24,403.6015893,4.921970601
2014,Grains,Pounds,White and whole wheat flour,134.6734901,0,134.6734901,12,118.5126713,0,118.5126713,20,29.6,94.81013706,4.156060803,117.8222457,82,24,402.5593396,4.909260238
2015,Grains,Pounds,White and whole wheat flour,133.0365588,0,133.0365588,12,117.0721717,0,117.0721717,20,29.6,93.65773739,4.105544653,116.3901381,82,24,397.6663053,4.849589089
2016,Grains,Pounds,White and whole wheat flour,131.6636841,0,131.6636841,12,115.864042,0,115.864042,20,29.6,92.69123361,4.063177364,115.1890467,82,24,393.5625761,4.799543611
2017,Grains,Pounds,White and whole wheat flour,131.8273405,0,131.8273405,12,116.0080596,0,116.0080596,20,29.6,92.80644772,4.068227845,115.3322253,82,24,394.0517698,4.805509387
1970,Grains,Pounds,Durum flour,6.9,0,6.9,12,6.072,0,6.072,20,29.6,4.8576,0.21293589,6.036626025,106,28.5,22.45201258,0.211811439
1971,Grains,Pounds,Durum flour,6.8,0,6.8,12,5.984,0,5.984,20,29.6,4.7872,0.209849863,5.949138692,106,28.5,22.1266211,0.208741708
1972,Grains,Pounds,Durum flour,7.1,0,7.1,12,6.248,0,6.248,20,29.6,4.9984,0.219107945,6.211600693,106,28.5,23.10279556,0.217950901
1973,Grains,Pounds,Durum flour,7.8,0,7.8,12,6.864,0,6.864,20,29.6,5.4912,0.240710137,6.824012028,106,28.5,25.38053597,0.239439019
1974,Grains,Pounds,Durum flour,6.8,0,6.8,12,5.984,0,5.984,20,29.6,4.7872,0.209849863,5.949138692,106,28.5,22.1266211,0.208741708
1975,Grains,Pounds,Durum flour,6.8,0,6.8,12,5.984,0,5.984,20,29.6,4.7872,0.209849863,5.949138692,106,28.5,22.1266211,0.208741708
1976,Grains,Pounds,Durum flour,7.1,0,7.1,12,6.248,0,6.248,20,29.6,4.9984,0.219107945,6.211600693,106,28.5,23.10279556,0.217950901
1977,Grains,Pounds,Durum flour,7.5,0,7.5,12,6.6,0,6.6,20,29.6,5.28,0.231452055,6.561550027,106,28.5,24.40436151,0.230229826
1978,Grains,Pounds,Durum flour,6.7,0,6.7,12,5.896,0,5.896,20,29.6,4.7168,0.206763836,5.861651358,106,28.5,21.80122961,0.205671977
1979,Grains,Pounds,Durum flour,7.3,0,7.3,12,6.424,0,6.424,20,29.6,5.1392,0.22528,6.38657536,106,28.5,23.75357853,0.224090364
