Year,Variable,Unit,Commodity,Primary weight,Loss from primary to retail weight,Retail weight,Loss from retail/institutional to consumer level,Consumer weight,Nonedible share,Edible weight,Other (cooking loss and uneaten food),"Total loss, all levels",Per capita availability (lbs/year),Per capita availability (oz/day),Per capita availability (g/day),Calories per ounce-equivalent,Ounce-equivalent ,Calories available daily ,Food pattern equivalents available daily
1970,"Meat, fish, eggs, and nuts",Pounds,Beef,114.3640394,30.2,79.82609948,4.344564675,76.35800296,0,76.35800296,20,46.58600491,61.08640237,2.677760104,75.91316006,82,1,219.5763285,2.677760104
1971,"Meat, fish, eggs, and nuts",Pounds,Beef,113.4313824,30.2,79.17510491,4.344564675,75.73529127,0,75.73529127,20,46.58600491,60.58823302,2.655922543,75.29407614,82,1,217.7856486,2.655922543
1972,"Meat, fish, eggs, and nuts",Pounds,Beef,115.2597684,30.2,80.45131832,4.344564675,76.95605876,0,76.95605876,20,46.58600491,61.56484701,2.69873302,76.50773174,82,1,221.2961076,2.69873302
1973,"Meat, fish, eggs, and nuts",Pounds,Beef,108.8125477,30.2,75.95115826,4.344564675,72.65141107,0,72.65141107,20,46.58600491,58.12112885,2.547775511,72.22816186,82,1,208.9175919,2.547775511
1974,"Meat, fish, eggs, and nuts",Pounds,Beef,115.6848998,30.2,80.74806005,4.344564675,77.23990836,0,77.23990836,20,46.58600491,61.79192669,2.708687197,76.7899277,82,1,222.1123502,2.708687197
1975,"Meat, fish, eggs, and nuts",Pounds,Beef,119.1336545,30.2,83.15529083,4.344564675,79.54255544,0,79.54255544,20,46.58600491,63.63404435,2.789437561,79.07916012,82,1,228.73388,2.789437561
1976,"Meat, fish, eggs, and nuts",Pounds,Beef,127.1968574,30.2,88.78340645,4.344564675,84.92615394,0,84.92615394,20,46.58600491,67.94092315,2.978232248,84.43139511,82,1,244.2150443,2.978232248
1977,"Meat, fish, eggs, and nuts",Pounds,Beef,123.7097154,30.2,86.34938132,4.344564675,82.5978766,0,82.5978766,20,46.58600491,66.07830128,2.89658307,82.11668174,82,1,237.5198117,2.89658307
1978,"Meat, fish, eggs, and nuts",Pounds,Beef,117.738655,30.2,82.18158118,4.344564675,78.61114923,0,78.61114923,20,46.58600491,62.88891939,2.756774548,78.15318006,82,1,226.055513,2.756774548
1979,"Meat, fish, eggs, and nuts",Pounds,Beef,105.3340682,30.2,73.52317961,4.344564675,70.32891752,0,70.32891752,20,46.58600491,56.26313401,2.466329162,69.91919859,82,1,202.2389913,2.466329162
1980,"Meat, fish, eggs, and nuts",Pounds,Beef,103.2522312,30.2,72.07005737,4.344564675,68.93892712,0,68.93892712,20,46.58600491,55.15114169,2.417584293,68.53730593,82,1,198.2419121,2.417584293
1981,"Meat, fish, eggs, and nuts",Pounds,Beef,104.2637092,30.2,72.77606905,4.344564675,69.61426566,0,69.61426566,20,46.58600491,55.69141253,2.441267399,69.20871012,82,1,200.1839267,2.441267399
1982,"Meat, fish, eggs, and nuts",Pounds,Beef,103.8732715,30.2,72.5035435,4.344564675,69.35358016,0,69.35358016,20,46.58600491,55.48286413,2.432125551,68.9495433,82,1,199.4342952,2.432125551
1983,"Meat, fish, eggs, and nuts",Pounds,Beef,106.1178294,30.2,74.07024494,4.344564675,70.85221524,0,70.85221524,20,46.58600491,56.6817722,2.484680425,70.43944771,82,1,203.7437949,2.484680425
1984,"Meat, fish, eggs, and nuts",Pounds,Beef,105.7823351,30.2,73.83606991,4.344564675,70.6282141,0,70.6282141,20,46.58600491,56.50257128,2.476825042,70.21675154,82,1,203.0996535,2.476825042
1985,"Meat, fish, eggs, and nuts",Pounds,Beef,106.8180854,30.2,74.55902363,4.344564675,71.31975863,0,71.31975863,20,46.58600491,57.0558069,2.501076467,70.9042673,82,1,205.0882703,2.501076467
1986,"Meat, fish, eggs, and nuts",Pounds,Beef,107.7724016,31,74.36295711,4.344564675,71.13221035,0,71.13221035,20,47.1981997,56.90576828,2.494499431,70.71781163,82,1,204.5489534,2.494499431
1987,"Meat, fish, eggs, and nuts",Pounds,Beef,103.8037807,33,69.54853304,4.344564675,66.52695205,0,66.52695205,20,48.72868667,53.22156164,2.332999962,66.13938243,82,1,191.3059969,2.332999962
1988,"Meat, fish, eggs, and nuts",Pounds,Beef,102.7985812,33.3,68.56665365,4.344564675,65.58773104,0,65.58773104,20,48.95825971,52.47018483,2.300062897,65.20563309,82,1,188.6051575,2.300062897
