Year,Variable,Unit,Commodity,Primary weight,Loss from primary to retail weight,Retail weight,Loss from retail/institutional to consumer level,Consumer weight,Nonedible share,Edible weight,Other (cooking loss and uneaten food),"Total loss, all levels",Per capita availability (lbs/year),Per capita availability (oz/day),Per capita availability (g/day),Calories per cup-equivalent,Grams per cup-equivalent ,Calories available daily ,Food pattern equivalents available daily
1970,Added sugar and sweeteners,Pounds,Refined cane and beet sugar,101.7567279,0,101.7567279,11,90.56348779,0,90.56348779,34,41.26,59.77190194,2.620138167,74.27960698,16,4.2,282.9699313,17.68562071
1971,Added sugar and sweeteners,Pounds,Refined cane and beet sugar,102.1164661,0,102.1164661,11,90.88365487,0,90.88365487,34,41.26,59.98321221,2.629401083,74.54220601,16,4.2,283.9703086,17.74814429
1972,Added sugar and sweeteners,Pounds,Refined cane and beet sugar,102.2936504,0,102.2936504,11,91.04134883,0,91.04134883,34,41.26,60.08729023,2.633963407,74.67154561,16,4.2,284.4630309,17.77893943
1973,Added sugar and sweeteners,Pounds,Refined cane and beet sugar,100.8103328,0,100.8103328,11,89.72119623,0,89.72119623,34,41.26,59.21598951,2.595769403,73.5887647,16,4.2,280.3381512,17.52113445
1974,Added sugar and sweeteners,Pounds,Refined cane and beet sugar,95.66313431,0,95.66313431,11,85.14018954,0,85.14018954,34,41.26,56.1925251,2.463233977,69.83145162,16,4.2,266.0245776,16.6265361
1975,Added sugar and sweeteners,Pounds,Refined cane and beet sugar,89.15963924,0,89.15963924,11,79.35207893,0,79.35207893,34,41.26,52.37237209,2.295775215,65.08407946,16,4.2,247.9393503,15.49620939
1976,Added sugar and sweeteners,Pounds,Refined cane and beet sugar,93.38293239,0,93.38293239,11,83.11080983,0,83.11080983,34,41.26,54.85313449,2.404520964,68.16696706,16,4.2,259.683684,16.23023025
1977,Added sugar and sweeteners,Pounds,Refined cane and beet sugar,94.19673351,0,94.19673351,11,83.83509283,0,83.83509283,34,41.26,55.33116127,2.425475562,68.76101946,16,4.2,261.9467408,16.3716713
1978,Added sugar and sweeteners,Pounds,Refined cane and beet sugar,91.4404431,0,91.4404431,11,81.38199436,0,81.38199436,34,41.26,53.71211628,2.354503727,66.74900342,16,4.2,254.2819178,15.89261986
1979,Added sugar and sweeteners,Pounds,Refined cane and beet sugar,89.33226499,0,89.33226499,11,79.50571584,0,79.50571584,34,41.26,52.47377245,2.300220162,65.21009149,16,4.2,248.4193962,15.52621226
1980,Added sugar and sweeteners,Pounds,Refined cane and beet sugar,83.63059033,0,83.63059033,11,74.43122539,0,74.43122539,34,41.26,49.12460876,2.153407507,61.04802613,16,4.2,232.5639091,14.53524432
1981,Added sugar and sweeteners,Pounds,Refined cane and beet sugar,79.40222939,0,79.40222939,11,70.66798416,0,70.66798416,34,41.26,46.64086954,2.044531268,57.96143917,16,4.2,220.8054826,13.80034266
