Year,Variable,Unit,Commodity,Primary weight,Loss from primary to retail weight,Retail weight,Loss from retail/institutional to consumer level,Consumer weight,Nonedible share,Edible weight,Other (cooking loss and uneaten food),"Total loss, all levels",Per capita availability (lbs/year),Per capita availability (oz/day),Per capita availability (g/day),Calories per cup-equivalent,Grams per cup-equivalent ,Calories available daily ,Food pattern equivalents available daily
1970,Vegetables for fresh,Pounds,Artichokes,0.47,7,0.43,19.31,0.35,60,0.14,18,75.38,0.11,0.01,0.14,76,162,0.07,0
1971,Vegetables for fresh,Pounds,Artichokes,0.51,7,0.47,19.31,0.38,60,0.15,18,75.38,0.12,0.01,0.16,76,162,0.07,0
1972,Vegetables for fresh,Pounds,Artichokes,0.56,7,0.52,19.31,0.42,60,0.17,18,75.38,0.14,0.01,0.17,76,162,0.08,0
1973,Vegetables for fresh,Pounds,Artichokes,0.49,7,0.45,19.31,0.37,60,0.15,18,75.38,0.12,0.01,0.15,76,162,0.07,0
1974,Vegetables for fresh,Pounds,Artichokes,0.51,7,0.47,19.31,0.38,60,0.15,18,75.38,0.12,0.01,0.15,76,162,0.07,0
1975,Vegetables for fresh,Pounds,Artichokes,0.49,7,0.46,19.31,0.37,60,0.15,18,75.38,0.12,0.01,0.15,76,162,0.07,0
1976,Vegetables for fresh,Pounds,Artichokes,0.55,7,0.51,19.31,0.41,60,0.16,18,75.38,0.13,0.01,0.17,76,162,0.08,0
1977,Vegetables for fresh,Pounds,Artichokes,0.46,7,0.43,19.31,0.35,60,0.14,18,75.38,0.11,0,0.14,76,162,0.07,0
1978,Vegetables for fresh,Pounds,Artichokes,0.48,7,0.45,19.31,0.36,60,0.15,18,75.38,0.12,0.01,0.15,76,162,0.07,0
1979,Vegetables for fresh,Pounds,Artichokes,0.61,7,0.57,19.31,0.46,60,0.18,18,75.38,0.15,0.01,0.19,76,162,0.09,0
1980,Vegetables for fresh,Pounds,Artichokes,0.59,7,0.55,19.31,0.44,60,0.18,18,75.38,0.14,0.01,0.18,76,162,0.08,0
1981,Vegetables for fresh,Pounds,Artichokes,0.75,7,0.7,19.31,0.56,60,0.22,18,75.38,0.18,0.01,0.23,76,162,0.11,0
1982,Vegetables for fresh,Pounds,Artichokes,0.82,7,0.77,19.31,0.62,60,0.25,18,75.38,0.2,0.01,0.25,76,162,0.12,0
1983,Vegetables for fresh,Pounds,Artichokes,0.73,7,0.68,19.31,0.55,60,0.22,18,75.38,0.18,0.01,0.22,76,162,0.11,0
1984,Vegetables for fresh,Pounds,Artichokes,0.95,7,0.89,19.31,0.72,60,0.29,18,75.38,0.23,0.01,0.29,76,162,0.14,0
1985,Vegetables for fresh,Pounds,Artichokes,1.02,7,0.95,19.31,0.77,60,0.31,18,75.38,0.25,0.01,0.31,76,162,0.15,0
1986,Vegetables for fresh,Pounds,Artichokes,0.94,7,0.87,19.31,0.7,60,0.28,18,75.38,0.23,0.01,0.29,76,162,0.13,0
1987,Vegetables for fresh,Pounds,Artichokes,0.99,7,0.92,19.31,0.75,60,0.3,18,75.38,0.24,0.01,0.3,76,162,0.14,0
1988,Vegetables for fresh,Pounds,Artichokes,0.91,7,0.85,19.31,0.69,60,0.27,18,75.38,0.23,0.01,0.28,76,162,0.13,0
1989,Vegetables for fresh,Pounds,Artichokes,0.97,7,0.91,19.31,0.73,60,0.29,18,75.38,0.24,0.01,0.3,76,162,0.14,0
1990,Vegetables for fresh,Pounds,Artichokes,0.85,7,0.79,19.31,0.63,60,0.25,18,75.38,0.21,0.01,0.26,76,162,0.12,0
1991,Vegetables for fresh,Pounds,Artichokes,0.83,7,0.77,19.31,0.62,60,0.25,18,75.38,0.2,0.01,0.25,76,162,0.12,0
1992,Vegetables for fresh,Pounds,Artichokes,0.88,7,0.82,19.31,0.66,60,0.26,18,75.38,0.22,0.01,0.27,76,162,0.13,0
1993,Vegetables for fresh,Pounds,Artichokes,0.86,7,0.8,19.31,0.65,60,0.26,18,75.38,0.21,0.01,0.26,76,162,0.12,0
1994,Vegetables for fresh,Pounds,Artichokes,1.27,7,1.18,19.31,0.95,60,0.38,18,75.38,0.31,0.01,0.39,76,162,0.18,0
1995,Vegetables for fresh,Pounds,Artichokes,0.92,7,0.86,19.31,0.69,60,0.28,18,75.38,0.23,0.01,0.28,76,162,0.13,0
1996,Vegetables for fresh,Pounds,Artichokes,0.99,7,0.92,19.31,0.74,60,0.3,18,75.38,0.24,0.01,0.3,76,162,0.14,0
1997,Vegetables for fresh,Pounds,Artichokes,1.01,7,0.94,19.31,0.76,60,0.3,18,75.38,0.25,0.01,0.31,76,162,0.14,0
1998,Vegetables for fresh,Pounds,Artichokes,1.18,7,1.1,19.31,0.89,60,0.35,18,75.38,0.29,0.01,0.36,76,162,0.17,0
1999,Vegetables for fresh,Pounds,Artichokes,1.32,7,1.23,19.31,0.99,60,0.4,18,75.38,0.33,0.01,0.4,76,162,0.19,0
2000,Vegetables for fresh,Pounds,Artichokes,1.24,7,1.15,19.31,0.93,60,0.37,18,75.38,0.31,0.01,0.38,76,162,0.18,0
2001,Vegetables for fresh,Pounds,Artichokes,1.23,7,1.14,19.31,0.92,60,0.37,18,75.38,0.3,0.01,0.38,76,162,0.18,0
2002,Vegetables for fresh,Pounds,Artichokes,1.32,7,1.23,19.31,0.99,60,0.4,18,75.38,0.33,0.01,0.4,76,162,0.19,0
2003,Vegetables for fresh,Pounds,Artichokes,1.44,7,1.34,19.31,1.08,60,0.43,18,75.38,0.35,0.02,0.44,76,162,0.21,0
2004,Vegetables for fresh,Pounds,Artichokes,1.36,7,1.27,19.31,1.02,60,0.41,18,75.38,0.34,0.01,0.42,76,162,0.2,0
2005,Vegetables for fresh,Pounds,Artichokes,1.4,7,1.3,19.31,1.05,60,0.42,18,75.38,0.34,0.02,0.43,76,162,0.2,0
2006,Vegetables for fresh,Pounds,Artichokes,1.68,7,1.56,19.31,1.26,60,0.5,18,75.38,0.41,0.02,0.51,76,162,0.24,0
2007,Vegetables for fresh,Pounds,Artichokes,1.55,7,1.44,19.61,1.16,60,0.46,18,75.48,0.38,0.02,0.47,76,162,0.22,0
2008,Vegetables for fresh,Pounds,Artichokes,1.54,7,1.43,19.92,1.14,60,0.46,18,75.57,0.38,0.02,0.47,76,162,0.22,0
2009,Vegetables for fresh,Pounds,Artichokes,1.52,7,1.41,20.23,1.13,60,0.45,18,75.67,0.37,0.02,0.46,76,162,0.22,0
2010,Vegetables for fresh,Pounds,Artichokes,1.47,7,1.36,20.53,1.08,60,0.43,18,75.76,0.36,0.02,0.44,76,162,0.21,0
2011,Vegetables for fresh,Pounds,Artichokes,1.7,7,1.58,20.84,1.25,60,0.5,18,75.85,0.41,0.02,0.51,76,162,0.24,0
2012,Vegetables for fresh,Pounds,Artichokes,1.46,7,1.36,20.84,1.07,60,0.43,18,75.85,0.35,0.02,0.44,76,162,0.21,0
2013,Vegetables for fresh,Pounds,Artichokes,1.28,7,1.19,20.84,0.94,60,0.38,18,75.85,0.31,0.01,0.38,76,162,0.18,0
2014,Vegetables for fresh,Pounds,Artichokes,1.44,7,1.34,20.84,1.06,60,0.42,18,75.85,0.35,0.02,0.43,76,162,0.2,0
2015,Vegetables for fresh,Pounds,Artichokes,1.41,7,1.31,20.84,1.04,60,0.42,18,75.85,0.34,0.01,0.42,76,162,0.2,0
2016,Vegetables for fresh,Pounds,Artichokes,1.39,7,1.3,20.84,1.03,60,0.41,18,75.85,0.34,0.01,0.42,76,162,0.2,0
2017,Vegetables for fresh,Pounds,Artichokes,1.43,7,1.33,20.84,1.05,60,0.42,18,75.85,0.34,0.02,0.43,76,162,0.2,0
1970,Vegetables for fresh,Pounds,Asparagus,0.44,9,0.4,9.41,0.36,47,0.19,18,64.17,0.16,0.01,0.2,27,134,0.04,0
1971,Vegetables for fresh,Pounds,Asparagus,0.38,9,0.34,9.41,0.31,47,0.17,18,64.17,0.14,0.01,0.17,27,134,0.03,0
1972,Vegetables for fresh,Pounds,Asparagus,0.4,9,0.37,9.41,0.33,47,0.18,18,64.17,0.14,0.01,0.18,27,134,0.04,0
1973,Vegetables for fresh,Pounds,Asparagus,0.4,9,0.36,9.41,0.33,47,0.17,18,64.17,0.14,0.01,0.18,27,134,0.04,0
1974,Vegetables for fresh,Pounds,Asparagus,0.39,9,0.35,9.41,0.32,47,0.17,18,64.17,0.14,0.01,0.17,27,134,0.03,0
1975,Vegetables for fresh,Pounds,Asparagus,0.41,9,0.37,9.41,0.34,47,0.18,18,64.17,0.15,0.01,0.18,27,134,0.04,0
1976,Vegetables for fresh,Pounds,Asparagus,0.43,9,0.39,9.41,0.36,47,0.19,18,64.17,0.15,0.01,0.19,27,134,0.04,0
1977,Vegetables for fresh,Pounds,Asparagus,0.34,9,0.31,9.41,0.28,47,0.15,18,64.17,0.12,0.01,0.15,27,134,0.03,0
1978,Vegetables for fresh,Pounds,Asparagus,0.29,9,0.26,9.41,0.24,47,0.13,18,64.17,0.1,0,0.13,27,134,0.03,0
1979,Vegetables for fresh,Pounds,Asparagus,0.25,9,0.23,9.41,0.21,47,0.11,18,64.17,0.09,0,0.11,27,134,0.02,0
1980,Vegetables for fresh,Pounds,Asparagus,0.29,9,0.27,9.41,0.24,47,0.13,18,64.17,0.11,0,0.13,27,134,0.03,0
1981,Vegetables for fresh,Pounds,Asparagus,0.31,9,0.28,9.41,0.26,47,0.14,18,64.17,0.11,0,0.14,27,134,0.03,0
1982,Vegetables for fresh,Pounds,Asparagus,0.38,9,0.34,9.41,0.31,47,0.16,18,64.17,0.14,0.01,0.17,27,134,0.03,0
1983,Vegetables for fresh,Pounds,Asparagus,0.43,9,0.39,9.41,0.36,47,0.19,18,64.17,0.15,0.01,0.19,27,134,0.04,0
1984,Vegetables for fresh,Pounds,Asparagus,0.41,9,0.37,9.41,0.33,47,0.18,18,64.17,0.15,0.01,0.18,27,134,0.04,0
1985,Vegetables for fresh,Pounds,Asparagus,0.47,9,0.42,9.41,0.38,47,0.2,18,64.17,0.17,0.01,0.21,27,134,0.04,0
1986,Vegetables for fresh,Pounds,Asparagus,0.6,9,0.55,9.41,0.5,47,0.26,18,64.17,0.22,0.01,0.27,27,134,0.05,0
1987,Vegetables for fresh,Pounds,Asparagus,0.57,9,0.52,9.41,0.47,47,0.25,18,64.17,0.2,0.01,0.25,27,134,0.05,0
1988,Vegetables for fresh,Pounds,Asparagus,0.58,9,0.53,9.41,0.48,47,0.25,18,64.17,0.21,0.01,0.26,27,134,0.05,0
1989,Vegetables for fresh,Pounds,Asparagus,0.57,9,0.52,9.41,0.47,47,0.25,18,64.17,0.2,0.01,0.25,27,134,0.05,0
1990,Vegetables for fresh,Pounds,Asparagus,0.59,9,0.53,9.41,0.48,47,0.26,18,64.17,0.21,0.01,0.26,27,134,0.05,0
1991,Vegetables for fresh,Pounds,Asparagus,0.6,9,0.55,9.41,0.5,47,0.26,18,64.17,0.22,0.01,0.27,27,134,0.05,0
1992,Vegetables for fresh,Pounds,Asparagus,0.6,9,0.54,9.41,0.49,47,0.26,18,64.17,0.21,0.01,0.27,27,134,0.05,0
1993,Vegetables for fresh,Pounds,Asparagus,0.57,9,0.52,9.41,0.47,47,0.25,18,64.17,0.2,0.01,0.25,27,134,0.05,0
1994,Vegetables for fresh,Pounds,Asparagus,0.56,9,0.51,9.41,0.46,47,0.24,18,64.17,0.2,0.01,0.25,27,134,0.05,0
1995,Vegetables for fresh,Pounds,Asparagus,0.56,9,0.51,9.41,0.46,47,0.24,18,64.17,0.2,0.01,0.25,27,134,0.05,0
1996,Vegetables for fresh,Pounds,Asparagus,0.58,9,0.53,9.41,0.48,47,0.25,18,64.17,0.21,0.01,0.26,27,134,0.05,0
1997,Vegetables for fresh,Pounds,Asparagus,0.66,9,0.6,9.41,0.54,47,0.29,18,64.17,0.24,0.01,0.29,27,134,0.06,0
1998,Vegetables for fresh,Pounds,Asparagus,0.73,9,0.67,9.41,0.6,47,0.32,18,64.17,0.26,0.01,0.33,27,134,0.07,0
1999,Vegetables for fresh,Pounds,Asparagus,0.89,9,0.81,9.41,0.74,47,0.39,18,64.17,0.32,0.01,0.4,27,134,0.08,0
2000,Vegetables for fresh,Pounds,Asparagus,0.96,9,0.87,9.41,0.79,47,0.42,18,64.17,0.34,0.02,0.43,27,134,0.09,0
2001,Vegetables for fresh,Pounds,Asparagus,0.92,9,0.84,9.41,0.76,47,0.4,18,64.17,0.33,0.01,0.41,27,134,0.08,0
2002,Vegetables for fresh,Pounds,Asparagus,0.96,9,0.88,9.41,0.79,47,0.42,18,64.17,0.35,0.02,0.43,27,134,0.09,0
2003,Vegetables for fresh,Pounds,Asparagus,1.04,9,0.95,9.41,0.86,47,0.46,18,64.17,0.37,0.02,0.46,27,134,0.09,0
2004,Vegetables for fresh,Pounds,Asparagus,1.12,9,1.02,9.41,0.93,47,0.49,18,64.17,0.4,0.02,0.5,27,134,0.1,0
2005,Vegetables for fresh,Pounds,Asparagus,1.12,9,1.02,9.41,0.92,47,0.49,18,64.17,0.4,0.02,0.5,27,134,0.1,0
2006,Vegetables for fresh,Pounds,Asparagus,1.13,9,1.03,9.41,0.93,47,0.5,18,64.17,0.41,0.02,0.5,27,134,0.1,0
2007,Vegetables for fresh,Pounds,Asparagus,1.16,9,1.06,10.68,0.94,47,0.5,18,64.68,0.41,0.02,0.51,27,134,0.1,0
2008,Vegetables for fresh,Pounds,Asparagus,1.18,9,1.08,11.95,0.95,47,0.5,18,65.18,0.41,0.02,0.51,27,134,0.1,0
2009,Vegetables for fresh,Pounds,Asparagus,1.29,9,1.18,13.22,1.02,47,0.54,18,65.68,0.44,0.02,0.55,27,134,0.11,0
2010,Vegetables for fresh,Pounds,Asparagus,1.37,9,1.24,14.49,1.06,47,0.56,18,66.18,0.46,0.02,0.57,27,134,0.12,0
2011,Vegetables for fresh,Pounds,Asparagus,1.38,9,1.26,15.76,1.06,47,0.56,18,66.68,0.46,0.02,0.57,27,134,0.12,0
2012,Vegetables for fresh,Pounds,Asparagus,1.45,9,1.32,15.76,1.11,47,0.59,18,66.68,0.48,0.02,0.6,27,134,0.12,0
2013,Vegetables for fresh,Pounds,Asparagus,1.41,9,1.29,15.76,1.08,47,0.57,18,66.68,0.47,0.02,0.59,27,134,0.12,0
2014,Vegetables for fresh,Pounds,Asparagus,1.65,9,1.5,15.76,1.27,47,0.67,18,66.68,0.55,0.02,0.68,27,134,0.14,0.01
2015,Vegetables for fresh,Pounds,Asparagus,1.46,9,1.32,15.76,1.12,47,0.59,18,66.68,0.48,0.02,0.6,27,134,0.12,0
2016,Vegetables for fresh,Pounds,Asparagus,1.54,9,1.4,15.76,1.18,47,0.63,18,66.68,0.51,0.02,0.64,27,134,0.13,0
2017,Vegetables for fresh,Pounds,Asparagus,1.58,9,1.43,15.76,1.21,47,0.64,18,66.68,0.53,0.02,0.65,27,134,0.13,0
1970,Vegetables for fresh,Pounds,Bell peppers,2.16,8,1.99,7.77,1.84,18,1.5,39,57.56,0.92,0.04,1.14,30,149,0.23,0.01
1971,Vegetables for fresh,Pounds,Bell peppers,2.26,8,2.08,7.77,1.92,18,1.58,39,57.56,0.96,0.04,1.19,30,149,0.24,0.01
1972,Vegetables for fresh,Pounds,Bell peppers,2.4,8,2.21,7.77,2.04,18,1.67,39,57.56,1.02,0.04,1.27,30,149,0.26,0.01
1973,Vegetables for fresh,Pounds,Bell peppers,2.53,8,2.33,7.77,2.15,18,1.76,39,57.56,1.08,0.05,1.34,30,149,0.27,0.01
1974,Vegetables for fresh,Pounds,Bell peppers,2.72,8,2.51,7.77,2.31,18,1.9,39,57.56,1.16,0.05,1.44,30,149,0.29,0.01
1975,Vegetables for fresh,Pounds,Bell peppers,2.48,8,2.29,7.77,2.11,18,1.73,39,57.56,1.05,0.05,1.31,30,149,0.26,0.01
1976,Vegetables for fresh,Pounds,Bell peppers,2.67,8,2.45,7.77,2.26,18,1.86,39,57.56,1.13,0.05,1.41,30,149,0.28,0.01
1977,Vegetables for fresh,Pounds,Bell peppers,2.8,8,2.58,7.77,2.38,18,1.95,39,57.56,1.19,0.05,1.48,30,149,0.3,0.01
1978,Vegetables for fresh,Pounds,Bell peppers,2.77,8,2.54,7.77,2.35,18,1.92,39,57.56,1.17,0.05,1.46,30,149,0.29,0.01
1979,Vegetables for fresh,Pounds,Bell peppers,2.94,8,2.7,7.77,2.49,18,2.04,39,57.56,1.25,0.05,1.55,30,149,0.31,0.01
1980,Vegetables for fresh,Pounds,Bell peppers,2.89,8,2.65,7.77,2.45,18,2.01,39,57.56,1.22,0.05,1.52,30,149,0.31,0.01
1981,Vegetables for fresh,Pounds,Bell peppers,2.79,8,2.56,7.77,2.36,18,1.94,39,57.56,1.18,0.05,1.47,30,149,0.3,0.01
1982,Vegetables for fresh,Pounds,Bell peppers,2.97,8,2.73,7.77,2.52,18,2.07,39,57.56,1.26,0.06,1.57,30,149,0.32,0.01
1983,Vegetables for fresh,Pounds,Bell peppers,3.33,8,3.06,7.77,2.82,18,2.31,39,57.56,1.41,0.06,1.75,30,149,0.35,0.01
1984,Vegetables for fresh,Pounds,Bell peppers,3.62,8,3.33,7.77,3.08,18,2.52,39,57.56,1.54,0.07,1.91,30,149,0.38,0.01
1985,Vegetables for fresh,Pounds,Bell peppers,3.8,8,3.5,7.77,3.22,18,2.64,39,57.56,1.61,0.07,2,30,149,0.4,0.01
1986,Vegetables for fresh,Pounds,Bell peppers,3.97,8,3.65,7.77,3.36,18,2.76,39,57.56,1.68,0.07,2.09,30,149,0.42,0.01
1987,Vegetables for fresh,Pounds,Bell peppers,4.23,8,3.89,7.77,3.59,18,2.94,39,57.56,1.8,0.08,2.23,30,149,0.45,0.01
1988,Vegetables for fresh,Pounds,Bell peppers,4.48,8,4.12,7.77,3.8,18,3.11,39,57.56,1.9,0.08,2.36,30,149,0.48,0.02
1989,Vegetables for fresh,Pounds,Bell peppers,4.69,8,4.31,7.77,3.98,18,3.26,39,57.56,1.99,0.09,2.47,30,149,0.5,0.02
1990,Vegetables for fresh,Pounds,Bell peppers,5.88,8,5.41,7.77,4.99,18,4.09,39,57.56,2.5,0.11,3.1,30,149,0.62,0.02
1991,Vegetables for fresh,Pounds,Bell peppers,6.3,8,5.8,7.77,5.35,18,4.38,39,57.56,2.67,0.12,3.32,30,149,0.67,0.02
1992,Vegetables for fresh,Pounds,Bell peppers,7.1,8,6.53,7.77,6.03,18,4.94,39,57.56,3.01,0.13,3.75,30,149,0.75,0.03
1993,Vegetables for fresh,Pounds,Bell peppers,7.63,8,7.02,7.77,6.48,18,5.31,39,57.56,3.24,0.14,4.02,30,149,0.81,0.03
1994,Vegetables for fresh,Pounds,Bell peppers,7.06,8,6.49,7.77,5.99,18,4.91,39,57.56,3,0.13,3.72,30,149,0.75,0.02
1995,Vegetables for fresh,Pounds,Bell peppers,7.01,8,6.45,7.77,5.95,18,4.88,39,57.56,2.98,0.13,3.7,30,149,0.74,0.02
1996,Vegetables for fresh,Pounds,Bell peppers,8.07,8,7.42,7.77,6.85,18,5.61,39,57.56,3.42,0.15,4.26,30,149,0.86,0.03
1997,Vegetables for fresh,Pounds,Bell peppers,7.33,8,6.75,7.77,6.22,18,5.1,39,57.56,3.11,0.14,3.87,30,149,0.78,0.03
